ACCOUNT_ID,SN_TYPE,TOTAL_ENGAGEMENT,LIKES,SHARES,COMMENTS,REACH
Starbucks Uruguay (FB),Facebook,85.0,80.0,2.0,3.0,112175.0
Starbucks Mexico (X),X,165.0,83.0,14.0,68.0,33115554.0
Starbucks Denmark (IG),Instagram,1079.0,864.0,200.0,15.0,43342.0
Starbucks Paraguay (FB),Facebook,3.0,3.0,0.0,0.0,943.0
Starbucks Malta (FB),Facebook,258.0,219.0,27.0,12.0,109485.0
Starbucks Norway (FB),Facebook,221.0,193.0,2.0,26.0,57675.0
Starbucks Bahrain (IG),Instagram,1345.0,613.0,700.0,32.0,37778.0
Starbucks España (TT),TikTok,12053.0,11133.0,788.0,132.0,7037358.0
Starbucks Denmark (FB),Facebook,144.0,131.0,2.0,11.0,425779.0
Starbucks Colombia (TT),TikTok,1195.0,998.0,142.0,55.0,23282.0
Starbucks Romania (FB),Facebook,3871.0,3716.0,124.0,31.0,2084278.0
Starbucks Thailand (IG),Instagram,10514.0,8052.0,2420.0,42.0,379833.0
Starbucks Netherlands (FB),Facebook,761.0,602.0,35.0,124.0,188389.0
Starbucks Italy (FB),Facebook,700.0,654.0,28.0,18.0,391858.0
Starbucks South Africa (IG),Instagram,4981.0,4038.0,861.0,82.0,143655.0
Starbucks Cyprus (FB),Facebook,325.0,307.0,15.0,3.0,65117.0
Starbucks Brazil (TT),TikTok,1177.0,1059.0,32.0,86.0,326569.0
Starbucks Germany (FB),Facebook,582.0,527.0,33.0,22.0,137601.0
Starbucks New Zealand,Facebook,1765.0,1309.0,416.0,40.0,282269.0
starbucksreserve_mil,Instagram,3121.0,2621.0,476.0,24.0,62638.0
Starbucks Global (LI),LinkedIn,4956.0,4565.0,209.0,182.0,722519.0
Starbucks Qatar (IG),Instagram,515.0,326.0,168.0,21.0,11462.0
Starbucks Canada (TT),TikTok,69520.0,62531.0,4184.0,2805.0,2633881.0
Starbucks Portugal (FB),Facebook,396.0,379.0,13.0,4.0,1131754.0
Starbucks Austria (FB),Facebook,37.0,35.0,2.0,0.0,236709.0
Starbucks Netherlands (TT),TikTok,2100.0,1420.0,603.0,77.0,36605.0
Starbucks Sweden (IG),Instagram,651.0,515.0,118.0,18.0,15051.0
Starbucks UK (TT),TikTok,5633.0,4930.0,546.0,157.0,91630.0
Starbucks Oman (IG),Instagram,565.0,360.0,193.0,12.0,12228.0
Starbucks Belgium (IG),Instagram,4260.0,3719.0,509.0,32.0,71893.0
Starbucks Brunei,Facebook,194.0,164.0,20.0,10.0,21992.0
Starbucks Switzerland (FB),Facebook,113.0,109.0,3.0,1.0,266702.0
Starbucks Jordan (IG),Instagram,476.0,373.0,83.0,20.0,15793.0
Starbucks Reserve Roastery Milano,Facebook,82.0,77.0,2.0,3.0,31568.0
Starbucks Egypt (IG),Instagram,3031.0,2190.0,812.0,29.0,76856.0
Starbucks Singapore (TT),TikTok,7140.0,4982.0,2108.0,50.0,2436586.0
Starbucks Sweden (FB),Facebook,102.0,98.0,3.0,1.0,14493.0
Starbucks Belgium (FB),Facebook,318.0,282.0,20.0,16.0,55396.0
Starbucks Malta (TT),TikTok,553.0,410.0,113.0,30.0,7338.0
starbucksnz_ (TT),TikTok,152.0,134.0,12.0,6.0,4751.0
Starbucks Greece (TT),TikTok,1291.0,1188.0,84.0,19.0,14902.0
Starbucks Oman (FB),Facebook,4.0,2.0,1.0,1.0,763.0
Starbucks Poland (TT),TikTok,625.0,559.0,42.0,24.0,5753.0
Starbucks Kuwait (TT),TikTok,2242.0,2131.0,90.0,21.0,1223567.0
Starbucks France (TT),TikTok,6842.0,5196.0,1547.0,99.0,126192.0
Starbucks Switzerland (TT),TikTok,1805.0,1688.0,93.0,24.0,1084977.0
Starbucks Cyprus (TT),TikTok,279.0,245.0,32.0,2.0,10005.0
starbuckslaos,Instagram,48.0,36.0,11.0,1.0,1769.0
STARBUCK LAOS (LA),Facebook,0.0,0.0,0.0,0.0,0.0
Starbucks Bahrain (FB),Facebook,10.0,10.0,0.0,0.0,889.0
Starbucks Cambodia (TT),TikTok,28078.0,26374.0,1318.0,386.0,2753276.0
Starbucks UAE (TT),TikTok,12161.0,11866.0,262.0,33.0,3916649.0
Starbucks Colombia (TH),Threads,194.0,178.0,6.0,10.0,0.0
Starbucks Macau,Facebook,106.0,96.0,10.0,0.0,15314.0
Starbucks Jordan (FB),Facebook,45.0,42.0,0.0,3.0,9564.0
Starbucks Morocco (IG),Instagram,148.0,118.0,25.0,5.0,3969.0
Starbucks Qatar (FB),Facebook,15.0,15.0,0.0,0.0,2224.0
Starbucks Egypt (FB),Facebook,207.0,172.0,19.0,16.0,89816.0
Starbucks Global (TH),Threads,5552.0,4584.0,449.0,519.0,0.0
Starbucks Mexico (TH),Threads,768.0,678.0,58.0,32.0,0.0
Starbucks Thailand (TT),TikTok,2874.0,2739.0,117.0,18.0,4395942.0
Starbucks Denmark (TT),TikTok,5417.0,4639.0,120.0,658.0,514647.0
Starbucks Canada (PN),Pinterest,4.0,0.0,4.0,0.0,0.0
Starbucks Lebanon (IG),Instagram,274.0,214.0,46.0,14.0,6245.0
Starbucks Germany (TT),TikTok,894.0,810.0,64.0,20.0,860070.0
Starbucks Austria (TT),TikTok,1157.0,1071.0,68.0,18.0,697334.0
Starbucks Italy (TT),TikTok,2068.0,1670.0,371.0,27.0,12968.0
Starbucks Bahrain (TT),TikTok,149.0,127.0,17.0,5.0,5102.0
Starbucks Qatar (TT),TikTok,165.0,145.0,5.0,15.0,4566.0
Starbucks Portugal (TT),TikTok,2449.0,2228.0,208.0,13.0,1231525.0
Starbucks Brasil (X),X,9.0,5.0,0.0,4.0,356826.0
Starbucks KSA (TT),TikTok,10550.0,9961.0,457.0,132.0,5101177.0
Starbucks Morocco (FB),Facebook,1.0,1.0,0.0,0.0,1428.0
Starbucks Vietnam (TT),TikTok,951.0,665.0,228.0,58.0,105451.0
Starbucks Indonesia (X),X,37.0,23.0,6.0,8.0,25883464.0
Starbucks Belgium (TT),TikTok,132.0,119.0,11.0,2.0,2742.0
Starbucks Mexico (YT),YouTube,0.0,0.0,0.0,0.0,0.0
Starbucks Indonesia (TT),TikTok,245.0,196.0,30.0,19.0,8467.0
Starbucks Egypt (TT),TikTok,211.0,191.0,14.0,6.0,5982.0
Starbucks Bulgaria (TT),TikTok,224.0,177.0,44.0,3.0,1701.0
starbucks_laos,TikTok,172.0,169.0,1.0,2.0,25439.0
Starbucks Norway (TT),TikTok,245.0,168.0,69.0,8.0,4252.0
Starbucks UK (FB),Instagram,0.0,0.0,0.0,0.0,0.0
Starbucks UK (IG),Facebook,0.0,0.0,0.0,0.0,0.0
Starbucks Philippines (TT),TikTok,529.0,459.0,56.0,14.0,12827.0
Starbucks Philippines (TT Ads),TikTok,0.0,0.0,0.0,0.0,0.0
Starbucks Asia Pacific (LI),LinkedIn,164.0,158.0,5.0,1.0,6518.0
Starbucks Lebanon (FB),Facebook,2.0,2.0,0.0,0.0,159.0
Starbucks Malaysia (X),X,5.0,3.0,0.0,2.0,1842734.0
Starbucks Korea (TT),TikTok,1367.0,1300.0,29.0,38.0,343519.0
Starbucks Korea (FB Ads),Facebook,0.0,0.0,0.0,0.0,0.0
